Software,Owner,Revenue (Est),What it's for,Notes,Link,Replacement Ease (1=Hard 5=Easy),Stagnation/Dislike (1=Fresh 5=Ancient)
SDM Housing,Volaris Group (Acquired),~£4m,Social Housing & Rent Accounting,The definition of "maintenance mode." Acquired by a buy-and-hold group. Extremely robust rent engine but the UI is ancient menu-driven legacy.,https://sdmhousing.co.uk/,1,5
Pyramid,Omni-Ledger,~£1.5m,Housing Associations & Co-ops,Very small team. Their "new" web version is essentially the old desktop database rendered in a browser. Modular and very specific to UK housing rules.,https://www.omni-ledger.co.uk/,2,4
RBS Omega,Harris Computer (Acquired / Rialtas),~£1.5m,Parish Council Accounting & Booking,Recently acquired by Harris (another buy-and-hold giant). Standard for Town Councils. Very "grey screen" accounting feel. Unlikely to see major R&D.,https://www.rialtas.co.uk/,2,5
Epitaph,Edge IT Systems,~£1m,Cemetery & Crematorium Management,Manages statutory burial registers. The law hasn't changed in 100 years, so neither has the core logic. Pure database administration.,https://www.edgeITsystems.com/,2,4
LINKS CarePath,Illy Systems,~£2.5m,Substance Misuse & Addiction Case Mgmt,Driven entirely by NDTMS (govt) reporting requirements. Rigid workflow: "Form A -> Form B". Very secure, very static.,https://www.illycorp.com/,1,4
CHARMS,Social Care Network,~£1.5m,Foster Care & Children's Homes,A dense "Daily Log" database. Prioritizes data capture over UX. Widely used by independent agencies who need to survive Ofsted audits.,https://socialcarenetwork.com/,2,4
Modus,Paloma Systems,~£1m+,Domestic Abuse & Victim Support,Used by police/charities. A secure form-filling engine. Very quiet company, low marketing, highly specialized on security.,https://www.palomasystems.co.uk/,3,4
Tramps,Trace Solutions,~£12m,Commercial Property Management,The "original" PropTech. Incredibly complex accounting back-end. Users tolerate the legacy UI because it handles service charge audits perfectly.,https://www.tracesolutions.co.uk/,1,4
Propman,Grosvenor Systems,~£5m,Block Management & Property Accounts,Classic on-premise style software (hosted or local). Feature-rich but button-heavy. Very difficult to migrate away from due to banking integrations.,https://www.grosvenorsystems.com/,2,3
IPS,Turnkey Computer Technology,~£9m,Insolvency & Bankruptcy,The UK industry standard. They are slowly moving to cloud, but the core product is a legacy compliance engine that dominates the market.,https://www.turnkeyllp.com/,1,3
Lawfusion,Select Legal,~£4m,High Street Law Firms,Refuses to be acquired. Maintains a heavy desktop client beloved by traditional solicitors who dislike browser-based apps. Very stable, very traditional.,https://www.selectlegal.co.uk/,2,4
SOS Connect,Solicitors Own Software (Advanced),~£6m,Mid-tier Legal Case Management,A heavy scripting engine. You don't "configure" it; you "code" it. Interface is dated, but flexibility keeps it in place. Now owned by Advanced but operates as legacy.,https://www.soslegal.co.uk/,1,4
Tricostar,Tricostar,~£1.5m,Public Sector Legal & Time Recording,"Time and File" tracking for council lawyers. Very simple, integrates with Outlook. Feels like a database wrapper for billing.,https://www.tricostar.com/,3,4
Stratum,APT Solutions,~£7m,Trade Unions & Membership,Handles complex union rulebooks (ballots, grievances). The UI is functional and data-heavy. Upgrades are often just compliance patches.,https://www.aptsolutions.net/,1,4
Voyager Infinity,Dillistone Group,~£5m,Recruitment & Staffing,A "thick client" database for headhunters. Very fast for data entry (keyboard shortcuts) but looks like a classic 2000s CRM. Publicly listed.,https://www.dillistone.com/,3,3
Charitylog,Dizions Ltd,~£1m,Charity CRM & Reporting,The "Microsoft Access" of the charity world. Simple tables, simple reports. Used by Age UKs. Very little changes because it does exactly what is needed.,https://www.charitylog.co.uk/,4,3
Lamplight,Lamplight Database Systems,~£1m,Charity Case Management,Self-configured database. You build the tables. Very popular with small charities. The "software" is just a shell for your data structure.,https://www.lamplightdb.co.uk/,4,3
JCAD,JC Applications Development,~£3m,Insurance Claims & Risk Mgmt,Used by public sector to track slip-and-trip claims. It is a digital ledger of incidents and reserves. Functional, risk-averse, steady.,https://www.jcad.co.uk/,2,4
Evolution M,Integrity Software,~£7m,Construction Accounting,Strictly for construction (job costing, retentions). It is an accounting system first, case manager second. Very traditional "ERP" feel.,https://www.integrity-software.net/,1,4
Debt Manager,Indigo Cloud,~£2m,Debt Collection & Recovery,High-volume transaction processing. It runs "dunning" workflows (Letter 1, Letter 2). The "case view" is just a window into the transaction log.,https://www.indigocloud.co.uk/,3,4
Software,Owner,Revenue (Est),What it's for,Notes,Link,Replacement Ease (1=Hard 5=Easy),Stagnation/Dislike (1=Fresh 5=Ancient)
Iken,Iken Business Ltd,3.5,"Public Sector In-House Legal","The absolute standard for Council legal teams. It is essentially an email and document wrapper that forces lawyers to file things correctly. Very ""local government"" feel.",https://iken.co.uk/,2,4
Locata,Locata Housing Services,4,"Homelessness & Housing Allocations","Owned by a consortium of Local Authorities. It effectively rations social housing. A massive forms engine that dictates who gets a house and who doesn't.",https://www.locata.co.uk/,1,4
PICS,"Volaris Group (Acquired / Pellcomp)",3,"Apprenticeship & ILR Data","If you run an apprenticeship college, you likely use this. It exists solely to generate the XML file the government demands for funding. Now owned by Volaris (buy-and-hold).",https://www.pellcomp.co.uk/,1,4
OneStep,Renovo Group,5,"Bailiff & Enforcement Management","The engine behind the bailiff industry. Manages the workflow from court order to knocking on the door. Grimly efficient transaction processing.",https://onestep.co.uk/,2,3
AdvicePro,ACM Solutions / AdviceUK,2,"Legal Aid & Advice Centers","Used by Citizens Advice and non-profits. Secure case recording for vulnerable people. It prioritizes data protection over usability. A joint venture with the charity sector.",https://www.advicepro.org.uk/,2,4
Veco,Eurolink,3,"Lettings & Estate Agency","The ""back office"" engine for estate agents who care about accounting more than marketing. Incredibly grey UI, but handles client money regulations perfectly.",https://www.eurolink.co/veco/,2,5
Scribe,Starboard Systems,2.5,"Parish Council Accounts","The modern rival to RBS. Purpose-built for Parish Clerks who aren't accountants. It kills Excel spreadsheets but is very niche to the bottom tier of local gov.",https://www.scribeaccounts.com/,3,2
PCMIS,University of York,3,"Mental Health (IAPT) Case Mgmt","An academic spin-out used by the NHS for depression/anxiety stats. It is a clinical tool designed by researchers, not UX designers. Pure functionality.",https://www.pcmis.com/,1,3
Redbrick,Redbrick Solutions,4.5,"Conveyancing Case Management","A ""workflow factory"" for property lawyers. It tracks the chain of a house sale. Users live inside it all day. Very dense, very prescriptive.",https://redbricksolutions.co.uk/,2,3
Osprey Approach,Pracctice Ltd,5,"SME Law Practice Management","Aims for the cloud but carries a legacy soul. Popular with high-street firms who want a ""secure"" feeling system. A solid, reliable plodder.",https://ospreyapproach.com/,2,3
Merlin,Merlin Business Software,5,"Industrial Distribution & Stock","ERP for people who sell nuts, bolts, and steel. It manages the ""case"" of a customer order through to the warehouse. Looks like Windows 95, works like a tank.",https://www.merlinbusinesssoftware.com/,1,5
Harlequin,Harlequin Software,1.5,"Charity & Hospice CRM","The database for hospices. It handles the specific complexity of ""In Memory"" donations that big US CRMs struggle with. Very loyal user base.",https://www.harlequinsoftware.co.uk/,3,4
SubscriberCRM,Carpenter Solutions,1.5,"Association & Membership","Used by niche trade bodies to track subscriptions. It is a glorified Rolodex with a billing engine. Rock solid, does not crash, does not change.",https://subscribercrm.com/,3,4
Pirana,Shire Systems,3,"CMMS & Maintenance Management","Tracks broken toilets and lightbulbs in hospitals/factories. It is a digital job-card system. Simple, rugged, and unpretentious.",https://shiresystems.com/,3,3
Caseworker.mp,Elected Technologies,1.5,"MP & Councillor Case Work","Used by Members of Parliament to track constituent complaints. Highly sensitive data. It is the digital memory of a politician's office.",https://www.caseworker.mp/,3,2
Connect Childcare,Connect Childcare,4.5,"Nursery & Kindergarten Mgmt","Tracks children's attendance and government funding hours. Critical for billing parents. A mix of complex funding calc and parent comms.",https://www.connectchildcare.com/,2,3
Bromcom,Bromcom Computers,15,"School MIS (Student Records)","The aggressive challenger to the SIMS monopoly. Feature-rich, data-heavy, and widely used by Academy Chains. The UI is ""everything at once"".",https://www.bromcom.com/,1,3
Promaster,"Volaris Group (Acquired / In4Systems)",2.5,"Social Housing Asset Management","Another Volaris acquisition. Predicts when boilers and roofs need replacing 30 years out. Pure data crunching for housing directors.",https://www.in4systems.com/,2,4
Cellma,RioMed,4,"Hospital & Clinic Management","Used by clinics that can't afford the US giants (Epic/Cerner). It manages patient pathways in niche NHS depts. Very modular, very functional.",https://riomed.com/,1,4
Isys,Isys Interactive Systems,3,"Waste Management & Weighbridge","Software for skips and garbage trucks. Tracks the ""case"" of a bin from drop-off to landfill tax. Niche industrial logic.",https://www.isys-interactive.com/,2,4